Plant Code,Plant Name,State,County,solar_mw,Latitude,Longitude,landfalls_100km
63883,Samson Solar Energy III LLC,TX,Lamar,250.0,33.426498,-95.357449,0
64325,Prospero Solar II,TX,Andrews,250.0,32.275814,-102.844806,0
65303,Sun Valley Solar Project,TX,Hill,250.0,31.86976,-97.01498,0
65631,"Pisgah Ridge Solar, LLC",TX,Navarro,250.0,31.896737,-96.467327,0
66821,Orion III Solar Project,TX,Milam,250.0,30.960219,-97.12452,0
66941,Orion II Solar Project,TX,Milam,250.0,31.029028,-96.934783,0
67127,"SR Toombs, LLC",GA,Montgomery,250.0,32.294555,-82.41625,0
67424,Hopkins Energy LLC,TX,Hopkins,250.0,33.21732,-95.4621,0
65937,"Porter Solar, LLC (TX)",TX,Denton,245.0,33.310446,-97.369773,0
62013,Pleinmont Solar 2,VA,Spotsylvania,240.0,38.247123,-77.786223,0
62249,Misae Solar,TX,Childress,240.0,34.380532,-100.099625,0
66471,Eiffel Solar Project,TX,Lamar,240.0,33.599167,-95.525056,0
65998,"True North Solar, LLC",TX,Falls,238.8,31.468564,-96.794168,0
66801,"Fence Post Solar Hybrid Project, LLC",TX,Navarro,236.0,32.072844,-96.22393,0
62462,Muscle Shoals,AL,Colbert,227.0,34.76973,-87.90454,0
62845,ENGIE Long Draw Solar LLC,TX,Borden,225.0,32.741383,-101.621793,0
63905,Azure Sky Solar,TX,Haskell,225.0,33.021601,-99.61463,0
61696,Twiggs Solar,GA,Twiggs,204.0,32.604997,-83.491239,0
64075,Taygete II Energy Project,TX,Pecos,203.8,31.186,-103.128,0
64258,AP Sunray LLC,TX,Uvalde,203.5,29.291845,-99.612368,0
61962,Holstein 1 Solar Farm,TX,Nolan,200.0,32.104125,-100.162375,0
62141,Rambler,TX,Tom Green,200.0,31.517,-100.6,0
64026,"ANSON Solar Center, LLC",TX,Jones,200.0,32.811041,-99.91749,0
64538,Corazon Energy LLC,TX,Webb,200.0,27.634677,-99.258329,0
65308,Horizon Solar,TX,Frio,200.0,28.9377,-99.10765,0
65333,Shakes Solar,TX,Dimmit,200.0,28.44208,-99.75582,0
65660,Texas Solar Nova 2,TX,Kent,200.0,33.32056,-100.981664,0
66193,Oak Ridge Solar,LA,Richland,200.0,32.575,-91.7884,0
66859,Orion I Solar Project,TX,Milam,200.0,30.996511,-97.001505,0
63222,Impact Solar 1,TX,Lamar,198.5,33.467803,-95.370856,0
63522,Hickory Park Solar Hybrid,GA,Mitchell,195.5,31.269676,-84.176321,0
63329,Aragorn Solar Project,TX,Culberson,187.2,31.719983,-104.442292,0
61368,Midway Solar - TX,TX,Pecos,182.0,30.995503,-102.223537,0
60123,Castle Gap Solar Hybrid,TX,Upton,180.0,31.255,-102.272,0
62675,Skipjack Solar Center,VA,Charles City,175.0,37.437106,-77.158736,0
66239,Pearl River Solar Park LLC,MS,Scott,175.0,32.550998,-89.730141,0
65793,"Concho Valley Solar, LLC",TX,Tom Green,172.8,31.214,-100.255,0
61785,Camilla Solar Energy Project,GA,Mitchell,171.4,31.26955,-84.228721,0
62014,Highlander Solar Energy Station 1,VA,Spotsylvania,165.0,38.247123,-77.786223,0
